the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,street,segmentid,Rank,PMP_ID,NTA2020,Boro,Category,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SHAPE_Leng
"MULTILINESTRING ((-73.81665096623519 40.67453789171683, -73.81697215697012 40.673676518346596))",4,Queens,410,"28,32",31,10,5,122 STREET,55131,4,52434,QN1001,QN,Community,South Ozone Park,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",326.2248916
"MULTILINESTRING ((-74.25422309679644 40.50616528608661, -74.25409843517714 40.50581010373048))",5,Staten Island,503,51,62,24,11,WARDS POINT AVENUE,16,5,79811,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,2,133.9642266
"MULTILINESTRING ((-73.82885385076081 40.69818649304847, -73.82857671739403 40.69761920611813))",4,Queens,409,29,24,14,5,120 STREET,56031,5,50784,QN0902,QN,Baseline,Richmond Hill,X,AREA OF MINIMAL FLOOD HAZARD,,220.5033536
"MULTILINESTRING ((-73.78519954748839 40.71891312322668, -73.78507988302111 40.718915276356675))",4,Queens,408,24,24,"11,14",5,CROYDON ROAD,180320,5,49677,QN0804,QN,Baseline,Jamaica Estates-Holliswood,X,AREA OF MINIMAL FLOOD HAZARD,,33.18052317
"MULTILINESTRING ((-74.15639270712379 40.632493397822905, -74.15645094302306 40.63136803777046))",5,Staten Island,501,49,61,23,11,MAPLE PARKWAY,8394,4,70756,SI0107,SI,Community,Mariner's Harbor-Arlington-Graniteville,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",410.3173548
"MULTILINESTRING ((-73.78455804512784 40.73614834455861, -73.78562333922295 40.7358553343711))",4,Queens,408,23,25,11,6,186 LANE,180353,4,49278,QN0803,QN,Community,Fresh Meadows-Utopia,X,AREA OF MINIMAL FLOOD HAZARD,,313.934113
"MULTILINESTRING ((-73.8206673493544 40.613615971662085, -73.82111415390287 40.61341841774452))",4,Queens,414,32,23,15,5,WEST 3 ROAD,169868,4,66285,QN1403,QN,Community,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,AE,,1,143.4187098
"MULTILINESTRING ((-73.82068102956953 40.70925206740368, -73.82014669679974 40.70836596652948))",4,Queens,409,29,27,14,6,VAN WYCK EXPWY SB EN 138 ST,56381,3,50478,QN0901,QN,Neighborhood,Kew Gardens,X,AREA OF MINIMAL FLOOD HAZARD,,355.1999064
"MULTILINESTRING ((-73.81955280324064 40.70575498970089, -73.81927111190532 40.7053448862278))",4,Queens,409,29,27,14,6,136 STREET,56520,4,50485,QN0901,QN,Community,Kew Gardens,X,AREA OF MINIMAL FLOOD HAZARD,,168.5942663
"MULTILINESTRING ((-73.97579823470531 40.74064461681907, -73.97441351866321 40.740075163612744))",1,Manhattan,106,"4,2",74,27,12,EAST 29 STREET,34668,3,32864,MN0603,MN,Neighborhood,Murray Hill-Kips Bay,X,AREA OF MINIMAL FLOOD HAZARD,"2,4,5,6",436.2188749
"MULTILINESTRING ((-73.81976857000305 40.612525410378325, -73.8196806160055 40.61254860408657))",4,Queens,414,32,23,15,5,EAST 4 ROAD,169875,5,66222,QN1403,QN,Baseline,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,AE,,1,25.84062297
"MULTILINESTRING ((-74.07756434161868 40.63331562540156, -74.07794682633691 40.63254909573036))",5,Staten Island,501,49,61,23,11,BREWSTER STREET,16342,5,66884,SI0102,SI,Baseline,Tompkinsville-Stapleton-Clifton-Fox Hills,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",298.7652889
"MULTILINESTRING ((-73.80294857957284 40.70608977808206, -73.80265548634424 40.70548042965001))",4,Queens,412,24,32,14,5,BURDETTE PLACE,57274,4,57121,QN1201,QN,Community,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,,236.409109
"MULTILINESTRING ((-73.80222783399589 40.70674931187941, -73.80137961569466 40.70700364229158))",4,Queens,412,24,"32,24","11,14","6,5",88 AVENUE,57444,4,57283,QN1201,QN,Community,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,,252.7667677
"MULTILINESTRING ((-74.25392303076265 40.50768188078662, -74.25495115258526 40.5077303995572))",5,Staten Island,503,51,62,24,11,AMBOY ROAD,29,5,79413,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,"1,2",286.4466556
"MULTILINESTRING ((-73.93329729152707 40.77288584014782, -73.93326790087184 40.77287692255634))",4,Queens,401,22,37,12,12,ASTORIA BOULEVARD,9000189,4,36751,QN0102,QN,Community,Old Astoria-Hallets Point,X,AREA OF MINIMAL FLOOD HAZARD,2,8.764958902
"MULTILINESTRING ((-73.78406026103956 40.71637249160784, -73.78391925215792 40.71639276773192, -73.78366097401549 40.71641806436101, -73.78340152734833 40.71643176861143, -73.78340123259707 40.71643178606714, -73.78340094855591 40.71643178553273, -73.78314131468267 40.71643388123332))",4,Queens,408,24,24,"11,14",5,DALNY ROAD,180394,5,49695,QN0804,QN,Baseline,Jamaica Estates-Holliswood,X,AREA OF MINIMAL FLOOD HAZARD,,256.2035051
"MULTILINESTRING ((-74.1510980776548 40.548242387403896, -74.1521336140996 40.54808076224636))",5,Staten Island,503,51,64,24,11,SCARSDALE STREET,6125,5,76924,SI0302,SI,Baseline,Great Kills-Eltingville,X,AREA OF MINIMAL FLOOD HAZARD,,293.7506656
"MULTILINESTRING ((-74.07601310156862 40.63777169336228, -74.07683997735136 40.6377502598479))",5,Staten Island,501,49,61,23,11,VICTORY BOULEVARD,16422,4,66991,SI0102,SI,Community,"St. George-New Brighton,Tompkinsville-Stapleton-Clifton-Fox Hills",X,AREA OF MINIMAL FLOOD HAZARD,"5,6",229.6236623
"MULTILINESTRING ((-73.78305761987494 40.73101726278244, -73.78208395598335 40.72896850812324))",4,Queens,408,24,25,11,6,187 STREET,180410,5,49248,QN0803,QN,Baseline,Fresh Meadows-Utopia,X,AREA OF MINIMAL FLOOD HAZARD,,793.7086031
"MULTILINESTRING ((-73.79676021501565 40.599035586134725, -73.79676511107341 40.599305662171425))",4,Queens,414,31,31,10,5,BEACH 67 STREET,57578,5,65584,QN1402,QN,Baseline,Rockaway Beach-Arverne-Edgemere,AE,,1,98.40500435
"MULTILINESTRING ((-74.25300101001635 40.506882496753384, -74.25309317077178 40.50629818977657))",5,Staten Island,503,51,62,24,11,SATTERLEE STREET,30,4,79691,SI0305,SI,Community,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,214.4135166
"MULTILINESTRING ((-73.78084636727706 40.73921738524246, -73.78041949378039 40.73834132121664))",4,Queens,408,23,25,11,6,194 LANE,180441,4,49251,QN0803,QN,Community,Fresh Meadows-Utopia,X,AREA OF MINIMAL FLOOD HAZARD,,340.3941783
"MULTILINESTRING ((-73.7689270481233 40.591783225612325, -73.76899288605138 40.592191872648726))",4,Queens,414,31,23,15,5,BEACH 37 STREET,57962,5,65187,QN1401,QN,Baseline,Far Rockaway-Bayswater,"AE,X",",AREA OF MINIMAL FLOOD HAZARD",1,149.9991383
"MULTILINESTRING ((-74.25300101001635 40.506882496753384, -74.25453057754042 40.50695648833388))",5,Staten Island,503,51,62,24,11,TOTTENVILLE PLACE,31,5,79929,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,2,426.2014063
"MULTILINESTRING ((-73.79277898351448 40.740430992709776, -73.79270996212938 40.74047594801493, -73.79268299309281 40.74048701176005, -73.79255726435436 40.740519437845066))",4,Queens,411,20,25,16,6,182 STREET,156023,5,54591,QN1101,QN,Baseline,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,70.46177373
"MULTILINESTRING ((-74.22032127948951 40.52914969268867, -74.22042124698534 40.52879687638359))",5,Staten Island,503,51,62,24,11,AMBASSADOR LANE,159429,5,78474,SI0304,SI,Baseline,Annadale-Huguenot-Prince's Bay-Woodrow,X,AREA OF MINIMAL FLOOD HAZARD,,131.509033
"MULTILINESTRING ((-73.76821177843162 40.601292570435874, -73.76862957155711 40.60114564510718))",4,Queens,414,31,23,10,5,DWIGHT AVENUE,58013,5,65203,QN1401,QN,Baseline,Far Rockaway-Bayswater,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1,127.7709597
"MULTILINESTRING ((-74.25287758127831 40.50762555545317, -74.25392303076265 40.50768188078662))",5,Staten Island,503,51,62,24,11,AMBOY ROAD,32,5,79934,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,1,291.4427752
"MULTILINESTRING ((-73.77014278138375 40.731823460333466, -73.77010830609689 40.73177950779149))",4,Queens,408,23,"24,25",11,6,FRANCIS LEWIS BOULEVARD,180576,3,49074,QN0803,QN,Neighborhood,"Fresh Meadows-Utopia,Cunningham Park",X,AREA OF MINIMAL FLOOD HAZARD,,18.64722698
"MULTILINESTRING ((-73.77088676043543 40.61229970729688, -73.77150351635701 40.61267343773087))",4,Queens,414,31,23,10,5,MOTT AVENUE,58166,3,65304,QN1401,QN,Neighborhood,Far Rockaway-Bayswater,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD",1,218.7745352
